DrugBank ID,Name,Type,UniProt ID,UniProt Name
DB00027,Gramicidin D,SmallMoleculeDrug,P08183,Multidrug resistance protein 1
DB00052,Somatotropin,BiotechDrug,P08183,Multidrug resistance protein 1
DB00067,Vasopressin,SmallMoleculeDrug,Q92887,Canalicular multispecific organic anion transporter 1
DB00080,Daptomycin,SmallMoleculeDrug,P08183,Multidrug resistance protein 1
DB00091,Cyclosporine,SmallMoleculeDrug,P08183,Multidrug resistance protein 1
DB00091,Cyclosporine,SmallMoleculeDrug,O95342,Bile salt export pump
DB00091,Cyclosporine,SmallMoleculeDrug,Q12908,Ileal sodium/bile acid cotransporter
DB00091,Cyclosporine,SmallMoleculeDrug,Q14973,Sodium/bile acid cotransporter
DB00091,Cyclosporine,SmallMoleculeDrug,Q4U2R8,Solute carrier family 22 member 6
DB00091,Cyclosporine,SmallMoleculeDrug,Q5T3U5,Multidrug resistance-associated protein 7
DB00091,Cyclosporine,SmallMoleculeDrug,Q92887,Canalicular multispecific organic anion transporter 1
DB00091,Cyclosporine,SmallMoleculeDrug,Q9UNQ0,ATP-binding cassette sub-family G member 2
DB00091,Cyclosporine,SmallMoleculeDrug,Q9Y6L6,Solute carrier organic anion transporter family member 1B1
DB00091,Cyclosporine,SmallMoleculeDrug,Q9NPD5,Solute carrier organic anion transporter family member 1B3
DB00103,Agalsidase beta,BiotechDrug,P20645,Cation-dependent mannose-6-phosphate receptor
DB00104,Octreotide,BiotechDrug,P08183,Multidrug resistance protein 1
DB00104,Octreotide,BiotechDrug,Q92887,Canalicular multispecific organic anion transporter 1
DB00107,Oxytocin,BiotechDrug,Q15109,Advanced glycosylation end product-specific receptor
DB00115,Cyanocobalamin,SmallMoleculeDrug,Q9BXJ7,Protein amnionless
DB00115,Cyanocobalamin,SmallMoleculeDrug,P20061,Transcobalamin-1
DB00115,Cyanocobalamin,SmallMoleculeDrug,P20062,Transcobalamin-2
DB00115,Cyanocobalamin,SmallMoleculeDrug,P27352,Gastric intrinsic factor
DB00115,Cyanocobalamin,SmallMoleculeDrug,O60494,Cubilin
DB00115,Cyanocobalamin,SmallMoleculeDrug,P98164,Low-density lipoprotein receptor-related protein 2
DB00115,Cyanocobalamin,SmallMoleculeDrug,P33527,Multidrug resistance-associated protein 1
DB00119,Pyruvic acid,SmallMoleculeDrug,O60669,Monocarboxylate transporter 2
DB00119,Pyruvic acid,SmallMoleculeDrug,P53985,Monocarboxylate transporter 1
DB00119,Pyruvic acid,SmallMoleculeDrug,Q8TF71,Monocarboxylate transporter 10
DB00119,Pyruvic acid,SmallMoleculeDrug,Q92959,Solute carrier organic anion transporter family member 2A1
DB00119,Pyruvic acid,SmallMoleculeDrug,O15427,Monocarboxylate transporter 4
DB00120,Phenylalanine,SmallMoleculeDrug,Q8TF71,Monocarboxylate transporter 10
DB00121,Biotin,SmallMoleculeDrug,Q9Y289,Sodium-dependent multivitamin transporter
DB00121,Biotin,SmallMoleculeDrug,Q8N695,Sodium-coupled monocarboxylate transporter 1
DB00122,Choline,SmallMoleculeDrug,O15244,Solute carrier family 22 member 2
DB00122,Choline,SmallMoleculeDrug,O15245,Solute carrier family 22 member 1
DB00122,Choline,SmallMoleculeDrug,O75751,Solute carrier family 22 member 3
DB00122,Choline,SmallMoleculeDrug,O76082,Solute carrier family 22 member 5
